_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,powerLevel,generic,deleted
164,"vfc","Other Handgun","","","その他のハンドガン","","",1,4,1,true,
165,"vfc","Other Rifle","","","その他のライフル","","",2,1,1,true,
166,"vfc","Other Rifle","","","その他のライフル","","",2,2,1,true,
167,"vfc","Other Rifle","","","その他のライフル","","",2,4,1,true,
168,"vfc","Other Shotgun","","","その他のショットガン","","",4,1,1,true,
169,"vfc","Other Shotgun","","","その他のショットガン","","",4,2,1,true,
170,"vfc","Other Shotgun","","","その他のショットガン","","",4,4,1,true,
171,"vfc","Other SMG","","","その他のSMG","","",8,1,1,true,
172,"vfc","Other SMG","","","その他のSMG","","",8,2,1,true,
173,"vfc","Other SMG","","","その他のSMG","","",8,4,1,true,

175,"g&g","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
176,"g&g","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
177,"g&g","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
178,"g&g","Other Rifle","","","その他のライフル","","",2,1,0,true,
179,"g&g","Other Rifle","","","その他のライフル","","",2,2,0,true,
180,"g&g","Other Rifle","","","その他のライフル","","",2,4,0,true,
181,"g&g","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
182,"g&g","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
183,"g&g","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
184,"g&g","Other SMG","","","その他のSMG","","",8,1,0,true,
185,"g&g","Other SMG","","","その他のSMG","","",8,2,0,true,
186,"g&g","Other SMG","","","その他のSMG","","",8,4,0,true,
187,"g&g","Other Handgun","","","その他のハンドガン","","",1,1,1,true,
188,"g&g","Other Handgun","","","その他のハンドガン","","",1,2,1,true,
189,"g&g","Other Handgun","","","その他のハンドガン","","",1,4,1,true,
190,"g&g","Other Rifle","","","その他のライフル","","",2,1,1,true,
191,"g&g","Other Rifle","","","その他のライフル","","",2,2,1,true,
192,"g&g","Other Rifle","","","その他のライフル","","",2,4,1,true,
193,"g&g","Other Shotgun","","","その他のショットガン","","",4,1,1,true,
194,"g&g","Other Shotgun","","","その他のショットガン","","",4,2,1,true,
195,"g&g","Other Shotgun","","","その他のショットガン","","",4,4,1,true,
196,"g&g","Other SMG","","","その他のSMG","","",8,1,1,true,
197,"g&g","Other SMG","","","その他のSMG","","",8,2,1,true,
198,"g&g","Other SMG","","","その他のSMG","","",8,4,1,true,

200,"hartford","Other Handgun","","","その他のハンドガン","","",1,1,0,true,
201,"hartford","Other Handgun ","","","その他のハンドガン","","",1,2,0,true,
202,"hartford","Other Handgun ","","","その他のハンドガン","","",1,4,0,true,
203,"hartford","Other Rifle","","","その他のライフル","","",2,1,0,true,
204,"hartford","Other Rifle","","","その他のライフル","","",2,2,0,true,
205,"hartford","Other Rifle","","","その他のライフル","","",2,4,0,true,
206,"hartford","Other Shotgun","","","その他のショットガン","","",4,1,0,true,
207,"hartford","Other Shotgun","","","その他のショットガン","","",4,2,0,true,
208,"hartford","Other Shotgun","","","その他のショットガン","","",4,4,0,true,
209,"hartford","Other SMG","","","その他のSMG","","",8,1,0,true,
210,"hartford","Other SMG","","","その他のSMG","","",8,2,0,true,
211,"hartford","Other SMG","","","その他のSMG","","",8,4,0,true,
212,"hartford","Other Handgun","","","その他のハンドガン","","",1,1,2,true,
213,"hartford","Other Handgun","","","その他のハンドガン","","",1,2,2,true,
214,"hartford","Other Handgun","","","その他のハンドガン","","",1,4,2,true,
215,"hartford","Other Rifle","","","その他のライフル","","",2,1,2,true,
