_id,manufacturerId,shortName,fullName,description,shortNameJa,fullNameJa,descriptionJa,type,powerSource,lowFps,generic,deleted
215,"hartford","Other Rifle","","","その他のライフル","","",2,1,true,true
216,"hartford","Other Rifle","","","その他のライフル","","",2,2,true,true
217,"hartford","Other Rifle","","","その他のライフル","","",2,4,true,true
218,"hartford","Other Shotgun","","","その他のショットガン","","",4,1,true,true
219,"hartford","Other Shotgun","","","その他のショットガン","","",4,2,true,true
220,"hartford","Other Shotgun","","","その他のショットガン","","",4,4,true,true
221,"hartford","Other SMG","","","その他のSMG","","",8,1,true,true
222,"hartford","Other SMG","","","その他のSMG","","",8,2,true,true
223,"hartford","Other SMG","","","その他のSMG","","",8,4,true,true

225,"maruzen","Other Pistol","","","その他のハンドガン","","",1,1,false,true
226,"maruzen","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
227,"maruzen","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
228,"maruzen","Other Rifle","","","その他のライフル","","",2,1,false,true
229,"maruzen","Other Rifle","","","その他のライフル","","",2,2,false,true
230,"maruzen","Other Rifle","","","その他のライフル","","",2,4,false,true
231,"maruzen","Other Shotgun","","","その他のショットガン","","",4,1,false,true
232,"maruzen","Other Shotgun","","","その他のショットガン","","",4,2,false,true
233,"maruzen","Other Shotgun","","","その他のショットガン","","",4,4,false,true
234,"maruzen","Other SMG","","","その他のSMG","","",8,1,false,true
235,"maruzen","Other SMG","","","その他のSMG","","",8,2,false,true
236,"maruzen","Other SMG","","","その他のSMG","","",8,4,false,true
237,"maruzen","Other Pistol","","","その他のハンドガン","","",1,1,true,true
238,"maruzen","Other Pistol","","","その他のハンドガン","","",1,2,true,true
239,"maruzen","Other Pistol","","","その他のハンドガン","","",1,4,true,true
240,"maruzen","Other Rifle","","","その他のライフル","","",2,1,true,true
241,"maruzen","Other Rifle","","","その他のライフル","","",2,2,true,true
242,"maruzen","Other Rifle","","","その他のライフル","","",2,4,true,true
243,"maruzen","Other Shotgun","","","その他のショットガン","","",4,1,true,true
244,"maruzen","Other Shotgun","","","その他のショットガン","","",4,2,true,true
245,"maruzen","Other Shotgun","","","その他のショットガン","","",4,4,true,true
246,"maruzen","Other SMG","","","その他のSMG","","",8,1,true,true
247,"maruzen","Other SMG","","","その他のSMG","","",8,2,true,true
248,"maruzen","Other SMG","","","その他のSMG","","",8,4,true,true

250,"krytac","Other Pistol","","","その他のハンドガン","","",1,1,false,true
251,"krytac","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
252,"krytac","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
253,"krytac","Other Rifle","","","その他のライフル","","",2,1,false,true
254,"krytac","Other Rifle","","","その他のライフル","","",2,2,false,true
255,"krytac","Other Rifle","","","その他のライフル","","",2,4,false,true
256,"krytac","Other Shotgun","","","その他のショットガン","","",4,1,false,true
257,"krytac","Other Shotgun","","","その他のショットガン","","",4,2,false,true
258,"krytac","Other Shotgun","","","その他のショットガン","","",4,4,false,true
259,"krytac","Other SMG","","","その他のSMG","","",8,1,false,true
260,"krytac","Other SMG","","","その他のSMG","","",8,2,false,true
261,"krytac","Other SMG","","","その他のSMG","","",8,4,false,true
262,"krytac","Other Pistol","","","その他のハンドガン","","",1,1,true,true
263,"krytac","Other Pistol","","","その他のハンドガン","","",1,2,true,true
264,"krytac","Other Pistol","","","その他のハンドガン","","",1,4,true,true
265,"krytac","Other Rifle","","","その他のライフル","","",2,1,true,true
266,"krytac","Other Rifle","","","その他のライフル","","",2,2,true,true
267,"krytac","Other Rifle","","","その他のライフル","","",2,4,true,true
268,"krytac","Other Shotgun","","","その他のショットガン","","",4,1,true,true
269,"krytac","Other Shotgun","","","その他のショットガン","","",4,2,true,true
270,"krytac","Other Shotgun","","","その他のショットガン","","",4,4,true,true
271,"krytac","Other SMG","","","その他のSMG","","",8,1,true,true
272,"krytac","Other SMG","","","その他のSMG","","",8,2,true,true
273,"krytac","Other SMG","","","その他のSMG","","",8,4,true,true

275,"crown","Other Pistol","","","その他のハンドガン","","",1,1,false,true
276,"crown","Other Pistol ","","","その他のハンドガン","","",1,2,false,true
277,"crown","Other Pistol ","","","その他のハンドガン","","",1,4,false,true
278,"crown","Other Rifle","","","その他のライフル","","",2,1,false,true
279,"crown","Other Rifle","","","その他のライフル","","",2,2,false,true
280,"crown","Other Rifle","","","その他のライフル","","",2,4,false,true
281,"crown","Other Shotgun","","","その他のショットガン","","",4,1,false,true
282,"crown","Other Shotgun","","","その他のショットガン","","",4,2,false,true
283,"crown","Other Shotgun","","","その他のショットガン","","",4,4,false,true
284,"crown","Other SMG","","","その他のSMG","","",8,1,false,true
285,"crown","Other SMG","","","その他のSMG","","",8,2,false,true
286,"crown","Other SMG","","","その他のSMG","","",8,4,false,true
287,"crown","Other Pistol","","","その他のハンドガン","","",1,1,true,true
288,"crown","Other Pistol","","","その他のハンドガン","","",1,2,true,true
289,"crown","Other Pistol","","","その他のハンドガン","","",1,4,true,true
290,"crown","Other Rifle","","","その他のライフル","","",2,1,true,true
